Question,Options,Answer
What is the capital of France?,"Paris, London, Rome, Berlin",Paris
Which planet is known as the Red Planet?,"Mars, Earth, Venus, Jupiter",Mars
What is the largest mammal?,"Blue whale, Elephant, Giraffe, Shark",Blue whale
Who wrote 'Hamlet'?,"Shakespeare, Hemingway, Tolkien, Rowling",Shakespeare
What is the square root of 64?,"8, 6, 10, 9",8
What is the chemical symbol for water?,"H2O, CO2, NaCl, O2",H2O
How many continents are there?,"7, 5, 6, 8",7
What is the longest river?,"Amazon, Nile, Yangtze, Mississippi",Amazon
Which element has the atomic number 1?,"Hydrogen, Oxygen, Carbon, Nitrogen",Hydrogen
Which language is used for web development?,"JavaScript, Python, Java, C++",JavaScript
Who painted the Mona Lisa?,"Leonardo da Vinci, Picasso, Van Gogh, Rembrandt",Leonardo da Vinci
Which planet is closest to the sun?,"Mercury, Venus, Earth, Mars",Mercury

